City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mataura,20,NZ,2021-07-19 19:29:26,95,-46.1927,168.8643,37.47,3.18
1,Hermanus,100,ZA,2021-07-19 19:27:31,83,-34.4187,19.2345,51.91,5.97
2,Vaini,20,TO,2021-07-19 19:29:26,94,-21.2,-175.2,69.96,3.44
3,Avarua,20,CK,2021-07-19 19:29:27,78,-21.2078,-159.775,77.05,17.27
4,Puerto Ayora,78,EC,2021-07-19 19:29:27,85,-0.7393,-90.3518,82.36,7.0
5,Busselton,77,AU,2021-07-19 19:29:27,85,-33.65,115.3333,53.04,11.3
6,Coquimbo,20,CL,2021-07-19 19:25:44,71,-29.9533,-71.3436,55.13,6.91
7,Castro,2,BR,2021-07-19 19:29:28,47,-24.7911,-50.0119,53.01,6.24
8,Kruisfontein,100,ZA,2021-07-19 19:27:48,89,-34.0033,24.7314,54.88,7.78
9,Cape Town,75,ZA,2021-07-19 19:27:18,86,-33.9258,18.4232,54.1,1.99
10,Port Elizabeth,100,ZA,2021-07-19 19:27:34,78,-33.918,25.5701,57.09,13.29
11,Mayo,1,US,2021-07-19 19:27:29,59,38.8876,-76.5119,91.24,1.01
12,Airai,8,TL,2021-07-19 19:24:35,85,-8.9266,125.4092,55.54,3.11
13,Colomi,63,BO,2021-07-19 19:29:29,67,-17.35,-65.8667,66.22,6.49
14,Shenjiamen,57,CN,2021-07-19 19:29:30,89,29.9576,122.298,80.01,10.54
15,Staryy Nadym,0,RU,2021-07-19 19:29:30,76,65.6118,72.6842,55.13,4.52
16,Punta Arenas,75,CL,2021-07-19 19:23:35,75,-53.15,-70.9167,42.91,11.5
17,Qaanaaq,89,GL,2021-07-19 19:24:15,89,77.484,-69.3632,38.37,2.35
18,Vermillion,32,US,2021-07-19 19:21:27,54,42.7794,-96.9292,82.8,5.7
19,Sudak,0,UA,2021-07-19 19:29:31,58,44.85,34.9667,81.39,5.01
20,Warri,100,NG,2021-07-19 19:29:31,88,5.5167,5.75,76.03,6.64
21,Kijang,100,KR,2021-07-19 19:22:17,87,35.2442,129.2139,80.33,5.97
22,Rikitea,99,PF,2021-07-19 19:27:29,61,-23.1203,-134.9692,71.11,21.77
23,Ushuaia,40,AR,2021-07-19 19:27:36,61,-54.8,-68.3,44.26,1.14
24,Maniitsoq,100,GL,2021-07-19 19:29:33,93,65.4167,-52.9,41.88,22.26
25,Hobart,93,AU,2021-07-19 19:27:21,73,-42.8794,147.3294,50.25,4.0
26,Saint George,1,US,2021-07-19 19:22:22,35,37.1041,-113.5841,97.27,3.44
27,Khatanga,100,RU,2021-07-19 19:27:18,63,71.9667,102.5,56.97,3.2
28,Saskylakh,100,RU,2021-07-19 19:28:34,93,71.9167,114.0833,49.73,7.0
29,Atuona,15,PF,2021-07-19 19:25:18,75,-9.8,-139.0333,77.4,26.44
30,Albany,98,US,2021-07-19 19:27:26,84,42.6001,-73.9662,80.31,1.14
31,Lebu,92,CL,2021-07-19 19:25:08,76,-37.6167,-73.65,55.94,14.27
32,Praia Da Vitoria,40,PT,2021-07-19 19:22:42,69,38.7333,-27.0667,77.25,10.71
33,Saldanha,100,ZA,2021-07-19 19:28:07,81,-33.0117,17.9442,55.45,22.19
34,Coihaique,75,CL,2021-07-19 19:29:35,62,-45.5752,-72.0662,51.75,6.91
35,Raisen,100,IN,2021-07-19 19:29:35,76,23.3333,77.8,81.21,6.49
36,Rio Gallegos,40,AR,2021-07-19 19:29:36,40,-51.6226,-69.2181,51.85,10.36
37,Pangai,20,TO,2021-07-19 19:26:15,83,-19.8,-174.35,77.11,4.61
38,Bethel,90,US,2021-07-19 19:28:22,77,41.3712,-73.414,79.43,3.0
39,Duma,83,CN,2021-07-19 19:29:37,92,34.7653,108.135,68.02,2.04
40,Calama,20,CL,2021-07-19 19:29:37,6,-22.4667,-68.9333,73.89,21.85
41,Zaysan,10,KZ,2021-07-19 19:29:37,31,47.4667,84.8667,68.74,7.16
42,Ihosy,91,MG,2021-07-19 19:29:38,90,-22.4,46.1167,59.63,10.38
43,Rawson,100,AR,2021-07-19 19:20:53,29,-43.3002,-65.1023,62.19,8.57
44,Soyo,10,AO,2021-07-19 19:29:38,82,-6.1349,12.3689,72.75,9.89
45,Touros,47,BR,2021-07-19 19:21:38,70,-5.1989,-35.4608,76.1,14.58
